Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Patrick Ewing,C,213,109,15,38,79,79,26.7,3.7,8.7,.430,0.0,0.0,.000,3.7,8.6,.431,.430,2.2,3.2,.685,1.6,5.8,7.4,1.2,0.7,1.2,1.9,2.9,9.6,2001
Rashard Lewis,PF,208,98,2,21,78,78,34.9,5.5,11.4,.480,1.6,3.7,.432,3.9,7.7,.503,.550,2.3,2.7,.826,1.8,5.1,6.9,1.6,1.2,0.6,1.7,2.4,14.8,2001
Desmond Mason,SF,201,102,0,23,78,14,19.5,2.4,5.6,.431,0.2,0.9,.269,2.2,4.8,.460,.451,0.9,1.2,.736,0.9,2.3,3.2,0.8,0.5,0.3,0.7,1.9,5.9,2001
Jelani McCoy,C,208,111,2,23,70,44,16.3,2.0,3.8,.523,0.0,0.0,,2.0,3.8,.523,.523,0.6,1.3,.441,1.3,2.3,3.6,0.8,0.3,0.7,1.1,2.0,4.5,2001
Olumide Oyedeji,C,208,109,0,19,30,1,7.4,0.6,1.2,.486,0.0,0.0,,0.6,1.2,.486,.486,0.3,0.4,.750,0.8,1.4,2.2,0.1,0.2,0.3,0.4,1.3,1.5,2001
Ruben Patterson,SF,196,102,2,25,76,22,27.1,4.9,9.9,.494,0.0,0.5,.056,4.8,9.4,.516,.495,3.2,4.8,.681,2.4,2.6,5.0,2.1,1.4,0.6,2.0,2.3,13.0,2001
Gary Payton,PG,193,82,10,32,79,79,41.1,9.2,20.1,.456,1.3,3.4,.375,7.9,16.7,.472,.488,3.4,4.5,.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,2001
Shammond Williams,PG,185,91,2,25,69,6,17.9,2.3,5.3,.438,0.9,1.9,.459,1.4,3.4,.426,.520,1.2,1.4,.875,0.5,1.4,1.9,2.8,0.4,0.1,1.2,1.2,6.8,2001
David Wingate,SG,196,84,14,37,1,0,9.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,2001
Rubén Wolkowyski,PF,208,122,0,27,34,1,9.0,0.7,2.3,.316,0.0,0.1,.000,0.7,2.3,.325,.316,0.7,1.0,.735,0.4,1.0,1.4,0.1,0.2,0.5,0.4,1.1,2.2,2001
Shandon Anderson,SG,198,94,4,27,82,82,29.2,3.2,7.2,.446,0.6,2.1,.271,2.6,5.1,.517,.485,1.7,2.3,.734,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7,2001
Matt Bullard,PF,208,98,9,33,61,5,16.4,2.1,5.0,.423,1.4,3.5,.404,0.7,1.5,.467,.564,0.2,0.2,.714,0.4,1.8,2.1,0.7,0.2,0.1,0.2,1.2,5.8,2001
Kelvin Cato,C,211,116,3,26,35,13,17.8,1.8,3.2,.577,0.0,0.0,,1.8,3.2,.577,.577,1.1,1.6,.649,1.3,2.7,4.0,0.3,0.4,0.9,0.7,2.5,4.7,2001
Jason Collier,C,213,118,0,23,23,0,9.7,1.2,3.1,.380,0.0,0.0,.000,1.2,3.0,.386,.380,0.7,1.0,.708,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.2,3.1,2001
Sean Colson,PG,183,79,0,25,10,0,3.0,0.6,1.9,.316,0.1,0.4,.250,0.5,1.5,.333,.342,0.2,0.4,.500,0.2,0.1,0.3,0.7,0.1,0.0,0.0,0.6,1.5,2001
Steve Francis,PG,190,88,1,23,80,79,39.9,6.9,15.2,.451,1.7,4.2,.396,5.2,11.0,.472,.506,4.5,5.5,.817,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9,2001
Dan Langhi,SF,211,100,0,23,33,0,7.3,1.1,3.0,.374,0.0,0.0,.000,1.1,3.0,.378,.374,0.5,0.9,.552,0.4,0.8,1.2,0.1,0.2,0.0,0.2,0.5,2.7,2001
Anthony Miller,PF,206,102,6,29,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2001
Cuttino Mobley,SG,193,86,2,25,79,49,38.0,6.7,15.4,.434,1.1,3.2,.357,5.5,12.2,.454,.471,5.0,6.0,.831,1.1,4.0,5.0,2.5,1.1,0.3,2.1,2.1,19.5,2001
Moochie Norris,PG,185,79,3,27,82,6,20.2,2.2,5.0,.446,0.3,1.1,.281,1.9,4.0,.491,.476,1.8,2.4,.778,0.5,1.9,2.4,3.5,0.8,0.0,1.3,1.0,6.6,2001
Hakeem Olajuwon,C,213,116,16,38,58,55,26.6,4.9,9.8,.498,0.0,0.0,.000,4.9,9.8,.499,.498,2.1,3.4,.621,2.1,5.3,7.4,1.2,1.2,1.5,1.4,2.4,11.9,2001
Carlos Rogers,C,211,100,6,29,39,0,13.9,1.9,2.8,.682,0.0,0.0,.000,1.9,2.8,.688,.682,0.7,1.3,.558,1.2,2.3,3.6,0.2,0.3,0.5,0.4,0.8,4.6,2001
Maurice Taylor,SF,206,118,3,24,69,69,28.6,5.7,11.6,.489,0.0,0.1,.000,5.7,11.5,.492,.489,1.7,2.3,.735,1.6,3.9,5.5,1.5,0.4,0.6,1.8,3.0,13.0,2001
Kenny Thomas,PF,201,118,1,23,74,21,24.6,2.8,6.3,.443,0.3,1.2,.272,2.4,5.0,.485,.470,1.2,1.7,.722,1.6,4.0,5.6,1.0,0.5,0.6,1.6,2.4,7.1,2001
Walt Williams,SF,203,99,8,30,72,31,22.0,2.8,7.1,.394,1.4,3.4,.395,1.4,3.7,.392,.489,1.3,1.8,.770,0.4,3.0,3.4,1.3,0.4,0.4,1.0,2.1,8.3,2001
David Benoit,SF,203,100,6,32,49,2,9.1,1.4,3.0,.483,0.1,0.3,.385,1.3,2.7,.493,.500,0.6,0.8,.795,0.4,1.2,1.7,0.4,0.1,0.1,0.6,1.5,3.6,2001
John Crotty,PG,185,84,8,31,31,0,8.5,0.7,2.1,.338,0.1,0.2,.571,0.6,1.9,.310,.369,0.5,0.6,.895,0.4,0.5,0.9,1.1,0.2,0.0,0.6,1.0,2.1,2001
Quincy Lewis,SF,201,98,1,23,35,2,11.5,1.4,3.5,.407,0.3,0.7,.360,1.2,2.8,.418,.443,0.4,0.6,.714,0.4,0.9,1.3,0.5,0.3,0.3,0.5,2.2,3.5,2001
Karl Malone,PF,206,113,15,37,81,81,35.7,8.3,16.6,.498,0.0,0.1,.400,8.2,16.5,.499,.499,6.6,8.3,.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,2001
Danny Manning,PF,208,104,12,34,82,0,15.9,3.0,6.1,.494,0.1,0.3,.250,2.9,5.8,.508,.501,1.2,1.7,.729,0.8,1.8,2.6,1.1,0.6,0.4,1.2,2.7,7.4,2001
Donyell Marshall,SF,206,99,6,27,81,49,28.7,5.3,10.5,.503,0.5,1.6,.320,4.8,8.9,.535,.527,2.5,3.4,.751,2.1,4.9,7.0,1.6,1.0,1.0,1.6,2.4,13.6,2001
Greg Ostertag,C,218,127,5,27,81,3,18.4,1.7,3.5,.495,0.0,0.0,.500,1.7,3.4,.495,.496,1.0,1.9,.556,2.0,3.1,5.1,0.3,0.3,1.8,0.8,2.7,4.5,2001
Scott Padgett,PF,206,109,1,24,27,0,4.7,0.7,1.6,.419,0.2,0.3,.556,0.5,1.3,.382,.477,0.6,0.7,.750,0.7,0.7,1.4,0.2,0.2,0.1,0.4,0.8,2.1,2001
Olden Polynice,C,211,100,13,36,81,79,20.0,2.5,5.1,.496,0.0,0.0,.000,2.5,5.1,.498,.496,0.2,0.8,.262,1.9,2.7,4.7,0.4,0.3,1.0,1.0,3.0,5.3,2001
Bryon Russell,SF,201,102,7,30,78,46,31.7,3.9,9.0,.440,1.2,2.9,.413,2.7,6.0,.453,.508,2.8,3.7,.779,1.2,3.0,4.2,2.1,1.2,0.3,1.4,2.9,12.0,2001
John Starks,SG,190,82,11,35,75,64,28.3,3.6,9.1,.398,0.9,2.4,.352,2.8,6.7,.415,.445,1.2,1.5,.802,0.4,1.7,2.1,2.4,1.0,0.1,1.3,2.9,9.3,2001
DeShawn Stevenson,SG,196,95,0,19,40,2,7.3,0.8,2.3,.341,0.0,0.3,.083,0.8,2.0,.380,.346,0.7,1.0,.684,0.2,0.5,0.7,0.5,0.3,0.1,0.7,0.7,2.2,2001
John Stockton,PG,185,77,16,38,82,82,29.2,4.0,7.9,.504,0.7,1.6,.462,3.3,6.3,.514,.551,2.8,3.4,.817,0.7,2.1,2.8,8.7,1.6,0.3,2.5,2.4,11.5,2001
Jacque Vaughn,PG,185,86,3,25,82,0,19.8,2.1,4.8,.433,0.4,1.0,.385,1.7,3.8,.444,.471,1.6,2.0,.780,0.2,1.6,1.8,3.9,0.6,0.0,1.6,1.8,6.1,2001
Tariq Abdul-Wahad,SG,198,101,3,26,29,12,14.5,1.5,3.8,.387,0.1,0.3,.400,1.3,3.5,.386,.405,0.7,1.2,.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8,2001
Ryan Bowen,SF,201,98,1,25,57,0,12.2,1.4,2.5,.556,0.1,0.2,.364,1.3,2.3,.571,.569,0.5,0.8,.614,1.1,0.9,2.0,0.5,0.6,0.2,0.4,1.7,3.4,2001
Calbert Cheaney,SG,201,95,7,29,9,5,17.0,1.1,3.3,.333,0.0,0.0,,1.1,3.3,.333,.333,0.1,0.2,.500,0.6,1.7,2.2,1.0,0.4,0.2,0.6,1.6,2.3,2001
Keon Clark,PF,211,100,2,25,35,3,21.5,2.3,5.7,.412,0.0,0.0,,2.3,5.7,.412,.412,1.8,3.0,.600,1.7,3.7,5.3,1.0,0.5,1.3,1.4,2.9,6.5,2001
Terry Davis,PF,206,102,9,33,19,1,12.0,0.6,1.3,.480,0.0,0.0,,0.6,1.3,.480,.480,0.5,1.2,.409,1.3,1.5,2.8,0.4,0.1,0.1,0.3,1.8,1.7,2001
Anthony Goldwire,PG,185,83,3,29,20,0,10.1,1.5,4.0,.375,0.5,1.7,.265,1.1,2.3,.457,.431,0.7,0.9,.765,0.1,0.6,0.6,1.7,0.5,0.0,0.8,0.7,4.1,2001
Garth Joseph,C,218,143,0,27,2,0,4.0,0.0,1.5,.000,0.0,0.0,,0.0,1.5,.000,.000,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2001
Raef LaFrentz,C,211,109,2,24,78,74,31.5,5.0,10.4,.477,0.7,1.8,.367,4.3,8.6,.499,.508,2.3,3.4,.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9,2001
Voshon Lenard,SG,193,93,5,27,80,58,29.1,4.2,10.6,.397,1.8,4.8,.385,2.4,5.8,.407,.484,1.9,2.4,.797,0.6,2.3,2.9,2.4,0.8,0.2,1.3,2.1,12.2,2001
Dan McClintock,C,213,122,0,23,6,1,9.7,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.0,0.8,.000,1.7,1.2,2.8,0.2,0.0,0.3,0.5,1.8,3.0,2001
George McCloud,SF,198,93,10,33,76,8,26.4,3.3,8.6,.382,1.0,3.1,.329,2.3,5.5,.411,.440,2.0,2.4,.840,0.7,2.2,2.9,3.7,0.7,0.4,1.5,2.2,9.6,2001
Antonio McDyess,PF,206,100,5,26,70,70,36.5,8.2,16.6,.495,0.0,0.0,,8.2,16.6,.495,.495,4.3,6.2,.700,3.4,8.6,12.1,2.1,0.6,1.5,2.3,3.1,20.8,2001
Tracy Murray,SF,201,102,8,29,13,0,10.4,1.3,4.2,.309,0.5,1.8,.304,0.8,2.5,.313,.373,0.7,0.8,.900,0.3,1.4,1.7,0.7,0.3,0.1,0.5,0.6,3.8,2001
Robert Pack,PG,188,82,9,31,74,11,17.0,2.4,5.8,.425,0.2,0.4,.387,2.3,5.3,.428,.439,1.4,1.9,.766,0.4,1.4,1.9,4.0,0.9,0.0,1.8,1.5,6.5,2001
James Posey,SF,203,98,1,24,82,82,27.5,3.0,7.2,.412,0.8,2.6,.300,2.2,4.5,.477,.467,1.4,1.7,.816,1.5,3.7,5.3,2.0,1.1,0.5,1.2,2.8,8.1,2001
Mark Strickland,SF,206,95,5,30,46,2,11.2,1.8,4.0,.443,0.0,0.0,.000,1.8,4.0,.446,.443,0.8,1.3,.627,0.9,1.7,2.6,0.4,0.3,0.4,0.5,1.3,4.4,2001
Nick Van Exel,PG,185,77,7,29,71,70,37.9,6.5,15.7,.414,1.9,5.0,.377,4.6,10.6,.431,.474,2.9,3.5,.819,0.6,2.8,3.4,8.5,0.9,0.3,2.3,1.5,17.7,2001
Kevin Willis,C,213,100,15,38,43,13,24.6,4.2,9.8,.428,0.0,0.1,.250,4.2,9.7,.429,.429,1.2,1.5,.788,2.5,4.7,7.2,0.7,0.9,0.7,1.1,3.2,9.6,2001
Derek Anderson,SG,196,88,3,26,82,82,34.9,5.0,12.1,.416,1.2,3.1,.399,3.8,9.0,.422,.467,4.2,4.9,.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,2001
Antonio Daniels,PG,193,88,3,25,79,23,26.1,3.5,7.4,.468,0.9,2.3,.404,2.5,5.1,.496,.531,1.5,2.0,.776,0.3,1.7,2.1,3.8,0.8,0.2,1.4,1.5,9.4,2001
Derrick Dial,SG,193,83,1,25,33,0,6.3,1.1,2.5,.434,0.1,0.3,.200,1.0,2.2,.466,.446,0.4,0.6,.571,0.4,0.8,1.2,0.6,0.1,0.2,0.4,0.7,2.6,2001
Tim Duncan,PF,211,113,3,24,82,82,38.7,8.6,17.1,.499,0.1,0.3,.259,8.5,16.8,.504,.502,5.0,8.1,.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,2001
Sean Elliott,SF,203,93,11,32,52,34,23.6,2.8,6.5,.434,1.1,2.5,.426,1.8,4.0,.438,.515,1.2,1.6,.714,0.3,2.9,3.3,1.6,0.4,0.5,1.0,1.5,7.9,2001
Danny Ferry,SF,208,104,10,34,80,29,21.1,2.2,4.7,.475,0.9,2.0,.449,1.4,2.7,.493,.568,0.3,0.4,.733,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6,2001
Jaren Jackson,SG,193,86,10,33,16,0,7.1,1.0,2.5,.400,0.4,1.1,.389,0.6,1.4,.409,.488,0.0,0.1,.000,0.1,0.7,0.8,0.4,0.3,0.0,0.2,0.8,2.4,2001
Avery Johnson,PG,178,79,12,35,55,20,23.5,2.4,5.5,.447,0.0,0.1,.167,2.4,5.3,.452,.448,0.7,1.1,.683,0.4,1.2,1.5,4.3,0.6,0.1,1.1,1.6,5.6,2001
Steve Kerr,PG,190,79,12,35,55,1,11.8,1.2,2.9,.421,0.6,1.4,.429,0.6,1.5,.415,.525,0.3,0.3,.933,0.1,0.5,0.6,1.0,0.3,0.0,0.4,0.5,3.3,2001
Ira Newble,SF,201,100,0,26,27,6,6.8,0.8,2.0,.382,0.1,0.3,.444,0.6,1.7,.370,.418,0.3,0.6,.500,0.5,0.8,1.3,0.2,0.1,0.1,0.3,0.7,2.0,2001
Terry Porter,PG,190,88,15,37,80,42,21.0,2.5,5.5,.448,1.1,2.6,.424,1.4,2.9,.468,.547,1.2,1.5,.793,0.3,2.2,2.5,3.1,0.7,0.1,1.3,1.1,7.2,2001
David Robinson,C,216,107,11,35,80,80,29.6,5.0,10.3,.486,0.0,0.0,.000,5.0,10.3,.487,.486,4.4,5.9,.747,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,2001
Malik Rose,PF,201,113,4,26,57,9,21.4,2.8,6.5,.435,0.1,0.3,.176,2.8,6.2,.447,.439,2.0,2.8,.713,1.7,3.7,5.4,0.8,1.0,0.7,1.3,2.6,7.7,2001
Shawnelle Scott,C,208,113,2,28,27,1,5.3,0.6,1.5,.415,0.0,0.0,,0.6,1.5,.415,.415,0.3,0.8,.409,0.9,1.0,1.9,0.1,0.2,0.2,0.4,0.9,1.6,2001
Samaki Walker,PF,206,109,4,24,61,1,15.8,2.0,4.1,.480,0.0,0.0,.333,2.0,4.1,.482,.482,1.3,2.0,.629,1.1,2.9,4.0,0.5,0.2,0.7,1.1,1.7,5.3,2001
Chucky Atkins,PG,180,73,1,26,81,75,29.2,4.7,11.8,.399,1.5,4.2,.357,3.2,7.6,.423,.463,1.1,1.6,.692,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0,2001
Dana Barros,PG,180,74,11,33,60,0,18.0,3.1,6.9,.444,0.7,1.8,.419,2.3,5.1,.453,.498,1.1,1.3,.850,0.1,1.5,1.6,1.8,0.5,0.0,1.0,1.1,8.0,2001
Jud Buechler,SF,198,100,10,32,57,3,12.9,1.3,2.9,.463,0.6,1.4,.416,0.8,1.5,.506,.561,0.2,0.2,.750,0.4,1.3,1.6,0.7,0.4,0.2,0.4,1.5,3.4,2001
Brian Cardinal,PF,203,111,0,23,15,0,8.4,0.7,2.1,.323,0.0,0.3,.000,0.7,1.7,.385,.323,0.7,1.2,.611,0.5,1.0,1.5,0.2,0.5,0.1,0.6,1.8,2.1,2001
Cedric Ceballos,SF,198,86,10,31,13,0,12.8,2.2,5.5,.394,0.8,3.1,.275,1.3,2.4,.548,.472,0.6,0.8,.800,0.5,1.5,2.0,0.5,0.5,0.2,0.7,1.5,5.8,2001
Mateen Cleaves,PG,188,93,0,23,78,8,16.3,2.1,5.1,.400,0.1,0.2,.294,2.0,4.9,.405,.406,1.2,1.8,.708,0.3,1.4,1.7,2.7,0.6,0.0,1.8,2.0,5.4,2001
Michael Curry,SG,196,95,6,32,68,58,21.8,2.1,4.7,.455,0.1,0.1,.444,2.1,4.6,.455,.461,0.9,1.1,.849,0.3,1.5,1.8,1.9,0.4,0.0,0.9,2.5,5.2,2001
Kornél Dávid,SF,206,107,2,29,10,0,6.9,1.0,2.2,.455,0.0,0.0,,1.0,2.2,.455,.455,0.0,0.0,,0.6,1.3,1.9,0.3,0.4,0.1,0.4,0.8,2.0,2001
Eric Montross,C,213,122,6,29,42,20,13.5,1.2,2.9,.413,0.0,0.0,,1.2,2.9,.413,.413,0.2,0.6,.269,1.0,2.4,3.4,0.4,0.2,0.5,0.9,2.4,2.5,2001
Mikki Moore,C,211,102,2,25,81,2,14.2,1.6,3.3,.493,0.0,0.0,.000,1.6,3.3,.494,.493,1.2,1.6,.731,1.5,2.4,3.9,0.4,0.3,0.8,0.9,2.5,4.4,2001
Billy Owens,PF,203,100,9,31,45,14,17.6,2.0,5.1,.383,0.1,0.4,.150,1.9,4.7,.405,.389,0.4,0.9,.475,1.9,2.7,4.6,1.2,0.7,0.3,0.9,2.1,4.4,2001
Joe Smith,PF,208,102,5,25,69,59,28.1,4.5,11.1,.403,0.0,0.1,.000,4.5,11.0,.405,.403,3.3,4.2,.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3,2001
Jerry Stackhouse,SG,198,99,5,26,80,80,40.2,9.7,24.1,.402,2.1,5.9,.351,7.6,18.2,.418,.445,8.3,10.1,.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,2001
Ben Wallace,C,206,109,4,26,80,80,34.5,2.7,5.5,.490,0.0,0.1,.250,2.7,5.4,.492,.491,1.0,3.0,.336,3.8,9.4,13.2,1.5,1.3,2.3,1.5,2.4,6.4,2001
John Wallace,SF,203,102,4,26,40,0,13.2,2.5,5.9,.424,0.1,0.4,.133,2.5,5.5,.443,.428,0.9,1.1,.778,0.6,1.5,2.1,0.6,0.3,0.4,0.9,1.8,5.9,2001
Jerome Williams,PF,206,93,4,27,33,2,24.4,2.7,6.1,.438,0.0,0.1,.000,2.7,6.0,.442,.438,2.0,2.7,.722,3.0,5.5,8.4,1.0,1.2,0.3,1.4,2.5,7.3,2001
Corliss Williamson,SF,201,111,5,27,27,9,29.6,6.4,11.9,.534,0.0,0.0,,6.4,11.9,.534,.534,2.5,4.0,.626,2.0,4.3,6.2,1.0,1.3,0.3,1.7,3.2,15.2,2001
Greg Anthony,PG,183,80,9,33,58,0,14.8,1.7,4.4,.383,1.1,2.7,.409,0.6,1.6,.340,.512,0.4,0.6,.657,0.4,0.7,1.1,1.4,0.7,0.1,0.7,1.1,4.9,2001
Stacey Augmon,SG,203,93,9,32,66,23,17.9,1.9,4.0,.477,0.0,0.1,.000,1.9,4.0,.485,.477,0.9,1.3,.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7,2001
Erick Barkley,PG,185,80,0,22,8,0,4.8,1.0,2.8,.364,0.4,1.0,.375,0.6,1.8,.357,.432,0.0,0.0,,0.0,0.4,0.4,0.8,0.3,0.0,0.6,0.3,2.4,2001
Dale Davis,C,211,104,9,31,81,43,26.7,3.0,6.0,.497,0.0,0.0,.000,3.0,6.0,.501,.497,1.2,1.9,.632,2.9,4.6,7.5,1.3,0.5,0.9,0.8,2.5,7.2,2001
Gary Grant,PG,190,84,12,35,4,0,4.3,1.3,1.8,.714,0.0,0.0,,1.3,1.8,.714,.714,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,2.5,2001
Antonio Harvey,PF,211,102,5,30,12,0,6.0,1.1,2.3,.464,0.0,0.0,,1.1,2.3,.464,.464,0.4,0.5,.833,0.4,0.8,1.2,0.3,0.1,0.5,0.3,0.8,2.6,2001
Shawn Kemp,PF,208,104,11,31,68,3,15.9,2.5,6.1,.407,0.1,0.2,.364,2.4,5.9,.408,.412,1.5,1.9,.771,0.9,2.9,3.8,1.0,0.7,0.3,1.5,2.7,6.5,2001
Will Perdue,C,213,109,12,35,13,0,4.5,0.5,0.7,.667,0.0,0.0,,0.5,0.7,.667,.667,0.2,0.3,.500,0.5,0.9,1.4,0.2,0.2,0.2,0.0,0.6,1.1,2001
Scottie Pippen,SF,203,95,13,35,64,60,33.3,4.2,9.3,.451,1.0,2.9,.344,3.2,6.4,.500,.505,1.9,2.5,.739,1.1,4.1,5.2,4.6,1.5,0.5,2.4,2.5,11.3,2001
Arvydas Sabonis,C,221,127,5,36,61,42,21.3,4.0,8.5,.479,0.0,0.2,.067,4.0,8.2,.491,.480,2.0,2.6,.776,0.8,4.6,5.4,1.5,0.7,1.0,1.4,2.2,10.1,2001
Detlef Schrempf,SF,208,107,15,38,26,0,15.3,1.5,3.7,.411,0.1,0.3,.375,1.4,3.3,.414,.426,0.9,1.0,.852,0.7,2.3,3.0,1.7,0.3,0.1,1.1,1.7,4.0,2001
Steve Smith,SG,201,91,9,31,81,36,31.4,4.4,9.7,.456,1.0,2.8,.339,3.5,6.9,.504,.505,3.8,4.3,.890,1.1,2.3,3.4,2.6,0.6,0.3,1.7,2.5,13.6,2001
Damon Stoudamire,PG,178,78,5,27,82,82,32.4,5.0,11.4,.434,1.0,2.7,.374,4.0,8.7,.453,.478,2.1,2.5,.831,0.8,2.9,3.7,5.7,1.3,0.1,2.3,2.5,13.0,2001
Rod Strickland,PG,190,79,12,34,21,0,16.7,2.0,4.7,.418,0.0,0.0,.000,2.0,4.6,.423,.418,0.7,1.2,.577,0.5,1.1,1.7,3.4,0.5,0.0,1.1,1.0,4.6,2001
Rasheed Wallace,PF,208,102,5,26,77,75,38.2,7.7,15.3,.501,0.7,2.1,.321,7.0,13.2,.530,.523,3.2,4.2,.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2,2001
Bonzi Wells,SF,196,95,2,24,75,46,26.6,5.2,9.7,.533,0.2,0.7,.340,4.9,9.0,.547,.545,2.1,3.2,.663,1.6,3.3,4.9,2.8,1.3,0.3,2.3,2.7,12.7,2001
Raja Bell,SG,196,93,0,24,5,0,6.0,0.4,1.4,.286,0.2,0.6,.333,0.2,0.8,.250,.357,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.2,1.0,2001
Rodney Buford,SF,196,86,1,23,47,0,12.2,2.2,5.1,.432,0.3,0.8,.421,1.9,4.3,.433,.465,0.5,0.6,.828,0.3,1.2,1.6,0.4,0.4,0.1,0.6,1.4,5.3,2001
Matt Geiger,C,213,110,8,31,35,4,15.5,2.5,6.4,.393,0.0,0.1,.000,2.5,6.3,.396,.393,1.1,1.5,.685,1.4,2.5,4.0,0.4,0.3,0.2,0.7,2.1,6.1,2001
Tyrone Hill,PF,206,109,10,32,76,75,31.1,3.7,7.7,.474,0.0,0.0,.000,3.7,7.7,.474,.474,2.3,3.6,.630,3.1,5.9,9.0,0.6,0.5,0.4,1.7,3.2,9.6,2001
Allen Iverson,SG,183,75,4,25,71,71,42.0,10.7,25.5,.420,1.4,4.3,.320,9.4,21.2,.441,.447,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2001
Jumaine Jones,SF,203,99,1,21,65,0,13.3,1.9,4.2,.444,0.3,0.9,.333,1.6,3.3,.474,.480,0.6,0.8,.755,1.0,1.9,2.9,0.5,0.5,0.2,0.6,1.0,4.7,2001
Toni Kukoč,SF,208,87,7,32,48,5,20.4,3.1,6.9,.458,0.7,1.6,.410,2.5,5.3,.472,.506,1.1,1.8,.591,1.0,2.4,3.4,1.9,0.7,0.1,1.3,1.3,8.0,2001
George Lynch,SF,203,99,7,30,82,80,32.3,3.3,7.5,.445,0.2,0.7,.263,3.2,6.8,.463,.457,1.5,2.1,.719,2.4,4.8,7.2,1.7,1.2,0.4,1.3,2.7,8.4,2001
Todd MacCulloch,C,213,127,1,25,63,3,9.5,1.7,2.9,.589,0.0,0.0,,1.7,2.9,.589,.589,0.7,1.0,.636,1.1,1.6,2.7,0.2,0.1,0.3,0.4,1.5,4.1,2001
Vernon Maxwell,PG,193,82,12,35,24,6,15.6,1.8,5.2,.336,0.9,2.7,.328,0.9,2.5,.344,.420,0.6,0.9,.682,0.1,1.4,1.5,1.2,0.5,0.0,0.8,1.4,5.0,2001
Aaron McKie,SG,196,95,6,28,76,33,31.5,4.4,9.4,.473,0.7,2.2,.312,3.8,7.2,.524,.511,2.0,2.6,.768,0.4,3.7,4.1,5.0,1.4,0.1,2.7,2.3,11.6,2001
Roshown McLeod,SF,203,100,2,25,1,0,15.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2001
Anthony Miller,PF,206,102,6,29,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
Nazr Mohammed,C,208,100,2,23,30,3,6.5,1.4,2.9,.466,0.0,0.0,,1.4,2.9,.466,.466,0.5,0.9,.500,0.6,1.2,1.8,0.1,0.2,0.2,0.3,1.3,3.2,2001
Dikembe Mutombo,C,218,111,9,34,26,26,33.7,3.8,7.8,.495,0.0,0.0,,3.8,7.8,.495,.495,4.0,5.3,.759,4.6,7.8,12.4,0.8,0.3,2.5,2.0,2.5,11.7,2001
Kevin Ollie,PG,193,88,3,28,51,4,15.0,1.4,3.2,.430,0.0,0.1,.333,1.4,3.2,.432,.433,1.0,1.4,.729,0.3,1.2,1.4,2.4,0.5,0.0,0.8,1.4,3.8,2001
Theo Ratliff,C,208,102,5,27,50,50,36.0,4.6,9.1,.499,0.0,0.0,,4.6,9.1,.499,.499,3.3,4.3,.760,2.5,5.8,8.3,1.2,0.6,3.7,2.5,3.3,12.4,2001
Pepe Sánchez,PG,193,88,0,23,24,0,4.8,0.4,0.9,.429,0.0,0.0,.000,0.4,0.8,.450,.429,0.1,0.1,1.000,0.1,0.5,0.6,1.5,0.4,0.0,0.1,0.8,0.8,2001
