Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Tim Thomas,PF,208,104,3,23,76,16,27.4,4.3,10.0,.430,1.4,3.4,.412,2.9,6.6,.440,.501,2.6,3.3,.771,1.0,3.1,4.1,1.8,1.0,0.6,1.5,2.6,12.6,2001
Scott Williams,C,208,104,10,32,66,31,19.3,2.6,5.5,.474,0.0,0.1,.250,2.6,5.4,.476,.475,0.9,1.1,.857,1.5,4.0,5.5,0.5,0.7,0.5,0.6,2.7,6.1,2001
Kobe Bryant,SG,198,96,4,22,68,68,40.9,10.3,22.2,.464,0.9,2.9,.305,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,2001
Derek Fisher,PG,185,91,4,26,20,20,35.5,3.9,9.4,.412,1.3,3.2,.397,2.6,6.2,.419,.479,2.5,3.1,.806,0.3,2.7,3.0,4.4,2.0,0.1,1.5,2.5,11.5,2001
Greg Foster,C,211,109,10,32,62,8,7.3,0.9,2.1,.421,0.0,0.1,.333,0.9,2.0,.427,.432,0.2,0.2,.714,0.5,1.3,1.8,0.5,0.1,0.2,0.4,1.2,2.0,2001
Rick Fox,SF,201,104,9,31,82,77,27.9,3.5,7.9,.444,1.4,3.7,.393,2.1,4.2,.488,.536,1.2,1.5,.779,1.0,3.0,4.0,3.2,0.9,0.4,1.7,2.7,9.6,2001
Devean George,SF,203,100,1,23,59,1,10.1,1.1,3.5,.309,0.3,1.2,.221,0.8,2.4,.353,.345,0.7,0.9,.709,0.6,1.3,1.9,0.3,0.3,0.3,0.6,1.5,3.1,2001
Horace Grant,PF,208,98,13,35,77,77,31.0,3.4,7.4,.462,0.0,0.0,.000,3.4,7.4,.465,.462,1.7,2.2,.775,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5,2001
Ron Harper,PG,198,84,14,37,47,46,24.2,2.7,5.8,.469,0.4,1.5,.264,2.3,4.2,.543,.504,0.7,1.0,.708,1.0,2.6,3.5,2.4,0.8,0.5,1.3,1.5,6.5,2001
Robert Horry,PF,208,109,8,30,79,1,20.1,1.9,4.8,.387,0.7,2.0,.346,1.2,2.8,.415,.458,0.7,1.1,.711,1.2,2.6,3.7,1.6,0.7,0.7,1.0,2.7,5.2,2001
Tyronn Lue,PG,183,79,2,23,38,1,12.3,1.3,3.1,.427,0.3,0.9,.324,1.0,2.2,.470,.474,0.5,0.6,.792,0.1,0.7,0.8,1.2,0.5,0.0,0.7,1.4,3.4,2001
Mark Madsen,PF,206,109,0,25,70,3,9.2,0.8,1.6,.487,0.0,0.0,1.000,0.8,1.6,.482,.491,0.4,0.5,.703,1.1,1.1,2.2,0.3,0.1,0.1,0.4,1.6,2.0,2001
Stanislav Medvedenko,PF,208,113,0,21,7,0,5.6,1.7,3.6,.480,0.1,0.1,1.000,1.6,3.4,.458,.500,1.0,1.7,.583,0.1,1.1,1.3,0.3,0.1,0.1,0.4,1.3,4.6,2001
Shaquille O'Neal,C,216,147,8,28,74,74,39.5,11.0,19.2,.572,0.0,0.0,.000,11.0,19.2,.573,.572,6.7,13.1,.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,2001
Mike Penberthy,PG,190,84,0,26,53,0,16.1,1.7,4.2,.414,1.0,2.6,.396,0.7,1.6,.446,.538,0.5,0.6,.903,0.2,1.0,1.2,1.3,0.4,0.0,0.6,1.1,5.0,2001
Isaiah Rider,SG,196,98,7,29,67,6,18.0,3.0,7.0,.426,0.5,1.4,.370,2.5,5.7,.439,.462,1.1,1.2,.855,0.7,1.7,2.3,1.7,0.4,0.1,1.5,1.6,7.6,2001
Brian Shaw,SG,198,86,11,34,80,28,22.9,2.1,5.1,.399,0.5,1.7,.311,1.5,3.5,.442,.450,0.6,0.8,.797,0.6,3.2,3.8,3.2,0.6,0.3,1.2,2.0,5.3,2001
Courtney Alexander,PG,196,93,0,23,38,6,12.4,1.6,4.7,.348,0.1,0.3,.300,1.6,4.4,.351,.357,0.9,1.2,.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2.0,4.2,2001
Calvin Booth,C,211,104,1,24,15,7,19.5,3.1,5.6,.548,0.0,0.0,,3.1,5.6,.548,.548,1.3,2.2,.606,1.6,3.2,4.8,1.3,0.8,2.0,1.1,3.7,7.5,2001
Shawn Bradley,C,229,107,7,28,82,35,24.4,2.7,5.5,.490,0.0,0.1,.167,2.7,5.4,.494,.491,1.7,2.2,.787,2.0,5.5,7.4,0.5,0.4,2.8,1.1,3.1,7.1,2001
Mark Bryant,PF,206,111,12,35,18,1,5.6,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.2,0.3,.600,0.2,0.9,1.2,0.2,0.1,0.1,0.3,1.6,1.1,2001
Greg Buckner,SG,193,95,1,24,37,9,22.2,2.3,5.2,.438,0.1,0.2,.286,2.2,5.0,.443,.443,1.6,2.2,.728,1.6,2.6,4.2,1.3,0.9,0.2,0.7,3.2,6.2,2001
Bill Curley,PF,206,100,4,28,5,0,3.0,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.2,0.8,.250,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.8,0.6,2001
Hubert Davis,PG,196,83,8,30,51,7,24.7,2.7,6.2,.443,1.1,2.6,.436,1.6,3.5,.448,.535,0.7,0.8,.854,0.4,1.8,2.1,1.2,0.6,0.0,1.1,1.8,7.3,2001
Howard Eisley,SG,188,80,6,28,82,40,29.6,3.2,8.2,.393,1.3,3.3,.398,1.9,5.0,.389,.472,1.3,1.5,.825,0.3,2.1,2.4,3.6,1.2,0.1,1.2,2.7,9.0,2001
Obinna Ekezie,PF,206,122,1,25,4,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2001
Michael Finley,SF,201,98,5,27,82,82,42.0,8.7,18.9,.458,1.1,3.2,.346,7.6,15.7,.481,.487,3.1,4.0,.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5,2001
